### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  138       2.427      0.1149     0.02283       0.1377
  139       2.483      0.1149     0.02327       0.1381
  140       2.541      0.1149     0.02372       0.1386
  141         2.6      0.1149     0.02418       0.1391
  142       2.661      0.1149     0.02466       0.1395
  143       2.723      0.1149     0.02514         0.14
  144       2.786      0.1149     0.02564       0.1405
  145       2.851      0.1149     0.02615        0.141
  146       2.917      0.1149     0.02667       0.1415
  147       2.985      0.1149      0.0272       0.1421
  148       3.055      0.1149     0.02774       0.1426
  149       3.126      0.1149      0.0283       0.1432
  150       3.199      0.1149     0.02887       0.1437
  151       3.273      0.1149     0.02945       0.1443
  152        3.35      0.1149     0.03005       0.1449
  153       3.428      0.1149     0.03066       0.1455
  154       3.508      0.1149     0.03129       0.1462
  155       3.589      0.1149     0.03192       0.1468
  156       3.673      0.1149     0.03258       0.1475
  157       3.758      0.1149     0.03325       0.1481
  158       3.846      0.1149     0.03393       0.1488
  159       3.936      0.1149     0.03463       0.1495
  160       4.027      0.1149     0.03535       0.1502
  161       4.121      0.1149     0.03609        0.151
  162       4.217      0.1149     0.03684       0.1517
  163       4.315      0.1149     0.03761       0.1525
  164       4.416      0.1149     0.03839       0.1533
  165       4.519      0.1149      0.0392       0.1541
  166       4.624      0.1149     0.04002       0.1549
  167       4.732      0.1149     0.04086       0.1557
  168       4.842      0.1149     0.04173       0.1566
  169       4.955      0.1149     0.04261       0.1575
  170        5.07      0.1149     0.04351       0.1584
  171       5.188      0.1149     0.04444       0.1593
  172       5.309      0.1149     0.04538       0.1603
  173       5.433      0.1149     0.04635       0.1612
  174       5.559      0.1149     0.04734       0.1622
  175       5.689      0.1149     0.04835       0.1632
  176       5.821      0.1149     0.04939       0.1643
  177       5.957      0.1149     0.05045       0.1653
  178       6.095      0.1149     0.05154       0.1664
  179       6.237      0.1149     0.05265       0.1675
  180       6.383      0.1149     0.05379       0.1687
  181       6.531      0.1149     0.05495       0.1698
  182       6.683      0.1149     0.05614        0.171
  183       6.839      0.1149     0.05736       0.1722
  184       6.998      0.1149      0.0586       0.1735
  185       7.161      0.1149     0.05988       0.1748
  186       7.328      0.1149     0.06119       0.1761
  187       7.499      0.1149     0.06252       0.1774
  188       7.674      0.1149     0.06389       0.1788
  189       7.852      0.1149     0.06529       0.1802
  190       8.035      0.1149     0.06672       0.1816
  191       8.222      0.1149     0.06818       0.1831
  192       8.414      0.1149     0.06968       0.1846
  193        8.61      0.1149     0.07122       0.1861
  194        8.81      0.1149     0.07279       0.1877
  195       9.016      0.1149     0.07439       0.1893
  196       9.226      0.1149     0.07603       0.1909
  197       9.441      0.1149     0.07772       0.1926
  198       9.661      0.1149     0.07944       0.1943
  199       9.886      0.1149      0.0812       0.1961
  200       10.12      0.1149       0.083       0.1979
  201       10.35      0.1149     0.08484       0.1997
  202       10.59      0.1149     0.08673       0.2016
  203       10.84      0.1149     0.08866       0.2035
  204       11.09      0.1149     0.09064       0.2055
  205       11.35      0.1149     0.09266       0.2075
  206       11.61      0.1149     0.09473       0.2096
  207       11.89      0.1149     0.09685       0.2117
  208       12.16      0.1149     0.09901       0.2139
  209       12.45      0.1149      0.1012       0.2161
  210       12.74      0.1149      0.1035       0.2184
  211       13.03      0.1149      0.1058       0.2207
  212       13.34      0.1149      0.1082       0.2231
  213       13.65      0.1149      0.1106       0.2255
  214       13.96      0.1149      0.1131        0.228
  215       14.29      0.1149      0.1157       0.2305
  216       14.62      0.1149      0.1183       0.2331
  217       14.96      0.1149      0.1209       0.2358
  218       15.31      0.1149      0.1237       0.2385
  219       15.67      0.1149      0.1264       0.2413
  220       16.03      0.1149      0.1293       0.2442
  221       16.41      0.1149      0.1322       0.2471
  222       16.79      0.1149      0.1352       0.2501
  223       17.18      0.1149      0.1383       0.2532
  224       17.58      0.1149      0.1414       0.2563
  225       17.99      0.1149      0.1446       0.2595
  226       18.41      0.1149      0.1479       0.2628
  227       18.84      0.1149      0.1512       0.2661
  228       19.28      0.1149      0.1547       0.2696
  229       19.72      0.1149      0.1582       0.2731
  230       20.18       0.115      0.1618       0.2768
  231       20.65      0.1154      0.1655       0.2808
  232       21.13      0.1157      0.1692        0.285
  233       21.63      0.1161      0.1731       0.2892
  234       22.13      0.1165       0.177       0.2935
  235       22.65      0.1169      0.1811       0.2979
  236       23.17      0.1172      0.1852       0.3024
  237       23.71      0.1176      0.1894       0.3071
  238       24.27      0.1181      0.1937       0.3118
  239       24.83      0.1185      0.1982       0.3166
  240       25.41      0.1189      0.2027       0.3216
  241          26      0.1194      0.2073       0.3267
  242       26.61      0.1198      0.2121       0.3319
  243       27.23      0.1203      0.2169       0.3372
  244       27.86      0.1207      0.2219       0.3426
  245       28.51      0.1212      0.2269       0.3482
  246       29.17      0.1217      0.2321       0.3539
  247       29.85      0.1222      0.2375       0.3597
  248       30.55      0.1228      0.2429       0.3657
  249       31.26      0.1233      0.2485       0.3718
  250       31.99      0.1238      0.2542        0.378
  251       32.73      0.1244        0.26       0.3844
  252        33.5       0.125       0.266       0.3909
  253       34.28      0.1255      0.2721       0.3976
  254       35.08      0.1261      0.2783       0.4045
  255       35.89      0.1267      0.2847       0.4115
  256       36.73      0.1274      0.2913       0.4186
  257       37.58       0.128       0.298        0.426
  258       38.46      0.1287      0.3048       0.4335
  259       39.36      0.1293      0.3118       0.4411
  260       40.27       0.132      0.3195       0.4515
  261       41.21      0.1395      0.3286       0.4681
  262       42.17      0.1471      0.3379       0.4851
  263       43.15       0.155      0.3475       0.5024
  264       44.16       0.163      0.3573       0.5202
  265       45.19      0.1712      0.3672       0.5384
  266       46.24      0.1796      0.3775        0.557
  267       47.32      0.1882      0.3879       0.5761
  268       48.42       0.197      0.3986       0.5956
  269       49.55       0.206      0.4096       0.6156
  270        50.7      0.2152      0.4208        0.636
  271       51.88      0.2246      0.4323       0.6569
  272       53.09      0.2342       0.444       0.6783
  273       54.33      0.2441       0.456       0.7001
  274       55.59      0.2542      0.4683       0.7225
  275       56.89      0.2645      0.4809       0.7454
  276       58.21      0.2751      0.4938       0.7689
  277       59.57      0.2859       0.507       0.7929
  278       60.95       0.297       0.524        0.821
  279       62.37      0.3083      0.5432       0.8515
  280       63.83      0.3199      0.5628       0.8827
  281       65.31      0.3318      0.5829       0.9146
  282       66.83      0.3439      0.6034       0.9473
  283       68.39      0.3563      0.6244       0.9807
  284       69.98       0.369      0.6459        1.015
  285       71.61       0.382      0.6679         1.05
  286       73.28      0.3953      0.6904        1.086
  287       74.99      0.4089      0.7134        1.122
  288       76.74      0.4229       0.737         1.16
  289       78.52      0.4371      0.7611        1.198
  290       80.35       0.451      0.7833        1.234
  291       82.22      0.4622      0.7956        1.258
  292       84.14      0.4737      0.8081        1.282
  293        86.1      0.4854      0.8209        1.306
  294        88.1      0.4974       0.834        1.331
  295       90.16      0.5096      0.8475        1.357
  296       92.26      0.5222      0.8612        1.383
  297       94.41      0.5351      0.8753         1.41
  298       96.61      0.5482      0.8896        1.438
  299       98.86      0.5617      0.9044        1.466
  300       101.2      0.5691      0.9138        1.483
  301       103.5      0.5703      0.9176        1.488
  302       105.9      0.5715      0.9216        1.493
  303       108.4      0.5728      0.9257        1.498
  304       110.9       0.574      0.9298        1.504
  305       113.5      0.5754      0.9341        1.509
  306       116.1      0.5767      0.9384        1.515
  307       118.9      0.5781      0.9429        1.521
  308       121.6      0.5783      0.9437        1.522
  309       124.5      0.5775      0.9419        1.519
  310       127.4      0.5768      0.9401        1.517
  311       130.3      0.5761      0.9383        1.514
  312       133.4      0.5753      0.9364        1.512
  313       136.5      0.5746      0.9344        1.509
  314       139.6      0.5738      0.9324        1.506
  315       142.9      0.5737      0.9277        1.501
  316       146.2      0.5736      0.9224        1.496
  317       149.6      0.5736      0.9171        1.491
  318       153.1      0.5736      0.9116        1.485
  319       156.7      0.5736       0.906         1.48
  320       160.3      0.5736      0.8999        1.473
  321       164.1      0.5736      0.8892        1.463
  322       167.9      0.5736      0.8783        1.452
  323       171.8      0.5736      0.8671        1.441
  324       175.8      0.5736      0.8557        1.429
  325       179.9      0.5736       0.844        1.418
  326       184.1      0.5716      0.8369        1.408
  327       188.4      0.5694      0.8297        1.399
  328       192.8      0.5672      0.8224         1.39
  329       197.2      0.5649      0.8149         1.38
  330       201.8      0.5626      0.8061        1.369
  331       206.5      0.5603      0.7955        1.356
  332       211.3      0.5579      0.7847        1.343
  333       216.3      0.5554      0.7735        1.329
  334       221.3      0.5527      0.7633        1.316
  335       226.5      0.5492      0.7561        1.305
  336       231.7      0.5457      0.7488        1.294
  337       237.1      0.5421      0.7412        1.283
  338       242.7      0.5385      0.7335        1.272
  339       248.3      0.5347      0.7257         1.26
  340       254.1      0.5324       0.718         1.25
  341         260      0.5306      0.7103        1.241
  342       266.1      0.5288      0.7024        1.231
  343       272.3      0.5269      0.6943        1.221
  344       278.6       0.525       0.686        1.211
  345       285.1       0.523      0.6776        1.201
  346       291.7       0.521      0.6689         1.19
  347       298.5       0.519      0.6601        1.179
  348       305.5       0.509      0.6547        1.164
  349       312.6      0.4967      0.6502        1.147
  350       319.9      0.4841      0.6456         1.13
  351       327.3      0.4712      0.6409        1.112
  352         335      0.4579      0.6361        1.094
  353       342.8      0.4444      0.6311        1.076
  354       350.8       0.431      0.6262        1.057
  355       358.9      0.4215      0.6222        1.044
  356       367.3      0.4119      0.6181         1.03
  357       375.8       0.402       0.614        1.016
  358       384.6      0.3919      0.6097        1.002
  359       393.6      0.3815      0.6053       0.9868
  360       402.7      0.3721      0.6013       0.9733
  361       412.1      0.3651      0.5982       0.9633
  362       421.7      0.3581      0.5951       0.9531
  363       431.5      0.3508      0.5918       0.9427
  364       441.6      0.3434      0.5885       0.9319
  365       451.9      0.3365      0.5856       0.9222
  366       462.4      0.3327      0.5849       0.9176
  367       473.2      0.3288      0.5841       0.9129
  368       484.2      0.3248      0.5833       0.9081
  369       495.5      0.3207      0.5825       0.9032
  370         507      0.3178      0.5824       0.9002
  371       518.8      0.3157      0.5828       0.8985
  372       530.9      0.3135      0.5832       0.8967
  373       543.3      0.3113      0.5836       0.8949
  374       555.9       0.309       0.584       0.8931
  375       568.9      0.3067      0.5844       0.8912
  376       582.1      0.3043      0.5849       0.8892
  377       595.7      0.3019      0.5853       0.8872
  378       609.5      0.3007      0.5862       0.8869
  379       623.7         0.3      0.5873       0.8872
  380       638.3      0.2993      0.5884       0.8876
  381       653.1      0.2985      0.5895        0.888
  382       668.3      0.2978      0.5906       0.8884
  383       683.9       0.297      0.5918       0.8888
  384       699.8      0.2962       0.593       0.8892
  385       716.1      0.2962      0.5943       0.8906
  386       732.8      0.2962      0.5957       0.8919
  387       749.9      0.2962      0.5971       0.8934
  388       767.4      0.2962      0.5986       0.8948
  389       785.2      0.2962      0.6001       0.8963
  390       803.5      0.2964      0.6015       0.8979
  391       822.2      0.2974      0.6024       0.8998
  392       841.4      0.2983      0.6034       0.9017
  393         861      0.2993      0.6044       0.9037
  394         881      0.3003      0.6054       0.9057
  395       901.6      0.3013      0.6064       0.9077
  396       922.6      0.3019      0.6076       0.9095
  397       944.1      0.3026      0.6088       0.9114
  398       966.1      0.3032      0.6101       0.9133
  399       988.6      0.3039      0.6114       0.9152
  400        1012      0.3042       0.611       0.9153
  401        1035      0.3042      0.6091       0.9133
  402        1059      0.3042      0.6071       0.9113
  403        1084      0.3042       0.605       0.9092
