### Fill Cross Sections for pi+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  617   1.496e+05      0.2124      0.4514       0.6639
  618   1.531e+05      0.2126      0.4516       0.6642
  619   1.567e+05      0.2128      0.4518       0.6646
  620   1.603e+05       0.213       0.452        0.665
  621   1.641e+05      0.2132      0.4522       0.6654
  622   1.679e+05      0.2133      0.4524       0.6658
  623   1.718e+05      0.2135      0.4527       0.6662
  624   1.758e+05      0.2137      0.4529       0.6666
  625   1.799e+05      0.2139      0.4531        0.667
  626   1.841e+05      0.2141      0.4533       0.6674
  627   1.884e+05      0.2143      0.4535       0.6679
  628   1.928e+05      0.2145      0.4538       0.6683
  629   1.972e+05      0.2147       0.454       0.6688
  630   2.018e+05       0.215      0.4543       0.6693
  631   2.065e+05      0.2152      0.4546       0.6698
  632   2.113e+05      0.2155      0.4548       0.6703
  633   2.163e+05      0.2157      0.4551       0.6708
  634   2.213e+05       0.216      0.4554       0.6713
  635   2.265e+05      0.2162      0.4557       0.6719
  636   2.317e+05      0.2165       0.456       0.6724
  637   2.371e+05      0.2167      0.4563        0.673
  638   2.427e+05       0.217      0.4566       0.6736
  639   2.483e+05      0.2173      0.4569       0.6741
  640   2.541e+05      0.2175      0.4572       0.6747
  641     2.6e+05      0.2178      0.4575       0.6753
  642   2.661e+05      0.2181      0.4578       0.6759
  643   2.723e+05      0.2184      0.4581       0.6765
  644   2.786e+05      0.2186      0.4584       0.6771
  645   2.851e+05      0.2189      0.4588       0.6777
  646   2.917e+05      0.2192      0.4591       0.6783
  647   2.985e+05      0.2195      0.4594       0.6789
  648   3.055e+05      0.2198      0.4598       0.6796
  649   3.126e+05      0.2201      0.4601       0.6802
  650   3.199e+05      0.2204      0.4604       0.6809
  651   3.273e+05      0.2207      0.4608       0.6815
  652    3.35e+05       0.221      0.4611       0.6822
  653   3.428e+05      0.2214      0.4615       0.6828
  654   3.508e+05      0.2217      0.4618       0.6835
  655   3.589e+05       0.222      0.4622       0.6842
  656   3.673e+05      0.2223      0.4626       0.6849
  657   3.758e+05      0.2227      0.4629       0.6856
  658   3.846e+05       0.223      0.4633       0.6863
  659   3.936e+05      0.2233      0.4637        0.687
  660   4.027e+05      0.2237      0.4641       0.6877
  661   4.121e+05       0.224      0.4644       0.6884
  662   4.217e+05      0.2243      0.4648       0.6892
  663   4.315e+05      0.2247      0.4652       0.6899
  664   4.416e+05       0.225      0.4656       0.6906
  665   4.519e+05      0.2254       0.466       0.6914
  666   4.624e+05      0.2257      0.4664       0.6921
  667   4.732e+05      0.2261      0.4668       0.6929
  668   4.842e+05      0.2265      0.4672       0.6937
  669   4.955e+05      0.2268      0.4676       0.6944
  670    5.07e+05      0.2272       0.468       0.6952
  671   5.188e+05      0.2276      0.4684        0.696
  672   5.309e+05       0.228      0.4688       0.6968
  673   5.433e+05      0.2283      0.4693       0.6976
  674   5.559e+05      0.2287      0.4697       0.6984
  675   5.689e+05      0.2291      0.4701       0.6992
  676   5.821e+05      0.2295      0.4705          0.7
  677   5.957e+05      0.2299       0.471       0.7008
  678   6.095e+05      0.2303      0.4714       0.7017
  679   6.237e+05      0.2307      0.4718       0.7025
  680   6.383e+05      0.2311      0.4723       0.7033
  681   6.531e+05      0.2315      0.4727       0.7042
  682   6.683e+05      0.2319      0.4732        0.705
  683   6.839e+05      0.2323      0.4736       0.7059
  684   6.998e+05      0.2327      0.4741       0.7068
  685   7.161e+05      0.2331      0.4745       0.7076
  686   7.328e+05      0.2335       0.475       0.7085
  687   7.499e+05      0.2339      0.4754       0.7094
  688   7.674e+05      0.2344      0.4759       0.7103
  689   7.852e+05      0.2348      0.4764       0.7111
  690   8.035e+05      0.2352      0.4768        0.712
  691   8.222e+05      0.2356      0.4773       0.7129
  692   8.414e+05      0.2361      0.4778       0.7139
  693    8.61e+05      0.2365      0.4783       0.7148
  694    8.81e+05       0.237      0.4787       0.7157
  695   9.016e+05      0.2374      0.4792       0.7166
  696   9.226e+05      0.2378      0.4797       0.7175
  697   9.441e+05      0.2383      0.4802       0.7185
  698   9.661e+05      0.2387      0.4807       0.7194
  699   9.886e+05      0.2392      0.4812       0.7204
  700   1.012e+06      0.2396      0.4817       0.7213
  701   1.035e+06      0.2401      0.4822       0.7223
  702   1.059e+06      0.2406      0.4827       0.7232
  703   1.084e+06       0.241      0.4832       0.7242
  704   1.109e+06      0.2415      0.4837       0.7252
  705   1.135e+06       0.242      0.4842       0.7261
  706   1.161e+06      0.2424      0.4847       0.7271
  707   1.189e+06      0.2429      0.4852       0.7281
  708   1.216e+06      0.2434      0.4857       0.7291
  709   1.245e+06      0.2439      0.4862       0.7301
  710   1.274e+06      0.2443      0.4868       0.7311
  711   1.303e+06      0.2448      0.4873       0.7321
  712   1.334e+06      0.2453      0.4878       0.7331
  713   1.365e+06      0.2458      0.4883       0.7341
  714   1.396e+06      0.2463      0.4889       0.7352
  715   1.429e+06      0.2468      0.4894       0.7362
  716   1.462e+06      0.2473      0.4899       0.7372
  717   1.496e+06      0.2478      0.4905       0.7383
  718   1.531e+06      0.2483       0.491       0.7393
  719   1.567e+06      0.2488      0.4915       0.7403
  720   1.603e+06      0.2493      0.4921       0.7414
  721   1.641e+06      0.2498      0.4926       0.7424
  722   1.679e+06      0.2503      0.4932       0.7435
  723   1.718e+06      0.2508      0.4937       0.7446
  724   1.758e+06      0.2514      0.4943       0.7456
  725   1.799e+06      0.2519      0.4948       0.7467
  726   1.841e+06      0.2524      0.4954       0.7478
  727   1.884e+06      0.2529      0.4959       0.7489
  728   1.928e+06      0.2535      0.4965         0.75
  729   1.972e+06       0.254      0.4971        0.751
  730   2.018e+06      0.2545      0.4976       0.7521
  731   2.065e+06      0.2551      0.4982       0.7532
  732   2.113e+06      0.2556      0.4988       0.7543
  733   2.163e+06      0.2561      0.4993       0.7555
  734   2.213e+06      0.2567      0.4999       0.7566
  735   2.265e+06      0.2572      0.5005       0.7577
  736   2.317e+06      0.2578      0.5011       0.7588
  737   2.371e+06      0.2583      0.5016       0.7599
  738   2.427e+06      0.2589      0.5022       0.7611
  739   2.483e+06      0.2594      0.5028       0.7622
  740   2.541e+06        0.26      0.5034       0.7633
  741     2.6e+06      0.2605       0.504       0.7645
  742   2.661e+06      0.2611      0.5045       0.7656
  743   2.723e+06      0.2616      0.5051       0.7668
  744   2.786e+06      0.2622      0.5057       0.7679
  745   2.851e+06      0.2628      0.5063       0.7691
  746   2.917e+06      0.2633      0.5069       0.7703
  747   2.985e+06      0.2639      0.5075       0.7714
  748   3.055e+06      0.2645      0.5081       0.7726
  749   3.126e+06      0.2651      0.5087       0.7738
  750   3.199e+06      0.2656      0.5093       0.7749
  751   3.273e+06      0.2662      0.5099       0.7761
  752    3.35e+06      0.2668      0.5105       0.7773
  753   3.428e+06      0.2674      0.5111       0.7785
  754   3.508e+06       0.268      0.5117       0.7797
  755   3.589e+06      0.2685      0.5123       0.7809
  756   3.673e+06      0.2691       0.513       0.7821
  757   3.758e+06      0.2697      0.5136       0.7833
  758   3.846e+06      0.2703      0.5142       0.7845
  759   3.936e+06      0.2709      0.5148       0.7857
  760   4.027e+06      0.2715      0.5154       0.7869
  761   4.121e+06      0.2721       0.516       0.7882
  762   4.217e+06      0.2727      0.5167       0.7894
  763   4.315e+06      0.2733      0.5173       0.7906
  764   4.416e+06      0.2739      0.5179       0.7918
  765   4.519e+06      0.2745      0.5185       0.7931
  766   4.624e+06      0.2751      0.5192       0.7943
  767   4.732e+06      0.2758      0.5198       0.7955
  768   4.842e+06      0.2764      0.5204       0.7968
  769   4.955e+06       0.277      0.5211        0.798
  770    5.07e+06      0.2776      0.5217       0.7993
  771   5.188e+06      0.2782      0.5223       0.8005
  772   5.309e+06      0.2788       0.523       0.8018
  773   5.433e+06      0.2795      0.5236       0.8031
  774   5.559e+06      0.2801      0.5242       0.8043
  775   5.689e+06      0.2807      0.5249       0.8056
  776   5.821e+06      0.2813      0.5255       0.8069
  777   5.957e+06       0.282      0.5262       0.8081
  778   6.095e+06      0.2826      0.5268       0.8094
  779   6.237e+06      0.2832      0.5275       0.8107
  780   6.383e+06      0.2839      0.5281        0.812
  781   6.531e+06      0.2845      0.5287       0.8133
  782   6.683e+06      0.2852      0.5294       0.8146
  783   6.839e+06      0.2858        0.53       0.8158
  784   6.998e+06      0.2864      0.5307       0.8171
  785   7.161e+06      0.2871      0.5314       0.8184
  786   7.328e+06      0.2877       0.532       0.8197
  787   7.499e+06      0.2884      0.5327        0.821
  788   7.674e+06       0.289      0.5333       0.8224
  789   7.852e+06      0.2897       0.534       0.8237
  790   8.035e+06      0.2903      0.5346        0.825
  791   8.222e+06       0.291      0.5353       0.8263
  792   8.414e+06      0.2917       0.536       0.8276
  793    8.61e+06      0.2923      0.5366       0.8289
  794    8.81e+06       0.293      0.5373       0.8303
  795   9.016e+06      0.2936       0.538       0.8316
  796   9.226e+06      0.2943      0.5386       0.8329
  797   9.441e+06       0.295      0.5393       0.8343
  798   9.661e+06      0.2956        0.54       0.8356
  799   9.886e+06      0.2963      0.5406       0.8369
