### Fill Cross Sections for kaon+ off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  146       2.917       0.287    0.001891       0.2889
  147       2.985      0.2872    0.002015       0.2892
  148       3.055      0.2874    0.002141       0.2895
  149       3.126      0.2876    0.002269       0.2899
  150       3.199      0.2878    0.002398       0.2902
  151       3.273       0.288    0.002528       0.2905
  152        3.35      0.2882     0.00293       0.2911
  153       3.428      0.2884    0.003361       0.2918
  154       3.508      0.2887    0.003798       0.2924
  155       3.589      0.2889    0.004239       0.2931
  156       3.673      0.2891    0.004686       0.2938
  157       3.758      0.2893    0.005137       0.2945
  158       3.846      0.2896    0.005595       0.2951
  159       3.936      0.2898    0.006057       0.2958
  160       4.027        0.29    0.006525       0.2965
  161       4.121      0.2903    0.006998       0.2973
  162       4.217      0.2905    0.007477        0.298
  163       4.315      0.2907    0.007962       0.2987
  164       4.416       0.291    0.008452       0.2994
  165       4.519      0.2912    0.008948       0.3002
  166       4.624      0.2915     0.01013       0.3016
  167       4.732      0.2917     0.01139       0.3031
  168       4.842       0.292     0.01265       0.3047
  169       4.955      0.2923     0.01393       0.3062
  170        5.07      0.2925     0.01523       0.3078
  171       5.188      0.2928     0.01654       0.3093
  172       5.309      0.2931     0.01787       0.3109
  173       5.433      0.2933     0.01921       0.3125
  174       5.559      0.2936     0.02057       0.3142
  175       5.689      0.2939     0.02194       0.3158
  176       5.821      0.2942     0.02333       0.3175
  177       5.957      0.2945     0.02474       0.3192
  178       6.095      0.2948      0.0272        0.322
  179       6.237       0.295      0.0298       0.3248
  180       6.383      0.2953     0.03243       0.3278
  181       6.531      0.2956     0.03509       0.3307
  182       6.683      0.2959     0.03778       0.3337
  183       6.839      0.2963      0.0405       0.3368
  184       6.998      0.2966     0.04326       0.3398
  185       7.161      0.2969     0.04604       0.3429
  186       7.328      0.2972     0.04886       0.3461
  187       7.499      0.2975     0.05172       0.3492
  188       7.674      0.2978     0.05489       0.3527
  189       7.852      0.2982     0.05857       0.3567
  190       8.035      0.2985     0.06229       0.3608
  191       8.222      0.2988     0.06606       0.3649
  192       8.414      0.2992     0.06987       0.3691
  193        8.61      0.2995     0.07372       0.3733
  194        8.81      0.2999     0.07763       0.3775
  195       9.016      0.3002     0.08157       0.3818
  196       9.226      0.3006     0.08557       0.3862
  197       9.441       0.301     0.08961       0.3906
  198       9.661      0.3013     0.09328       0.3946
  199       9.886      0.3017     0.09698       0.3987
  200       10.12       0.302      0.1007       0.4027
  201       10.35       0.302      0.1045       0.4066
  202       10.59      0.3021      0.1084       0.4105
  203       10.84      0.3021      0.1123       0.4144
  204       11.09      0.3022      0.1162       0.4184
  205       11.35      0.3023      0.1202       0.4225
  206       11.61      0.3023      0.1235       0.4259
  207       11.89      0.3024      0.1264       0.4288
  208       12.16      0.3025      0.1293       0.4318
  209       12.45      0.3026      0.1323       0.4348
  210       12.74      0.3026      0.1352       0.4379
  211       13.03      0.3027      0.1383        0.441
  212       13.34      0.3028      0.1413       0.4441
  213       13.65      0.3028      0.1444       0.4472
  214       13.96      0.3029      0.1465       0.4494
  215       14.29       0.303      0.1485       0.4515
  216       14.62      0.3031      0.1505       0.4535
  217       14.96      0.3031      0.1525       0.4557
  218       15.31      0.3032      0.1546       0.4578
  219       15.67      0.3033      0.1567         0.46
  220       16.03      0.3034      0.1588       0.4622
  221       16.41      0.3035      0.1602       0.4637
  222       16.79      0.3035      0.1616       0.4651
  223       17.18      0.3036      0.1629       0.4665
  224       17.58      0.3037      0.1643        0.468
  225       17.99      0.3038      0.1657       0.4695
  226       18.41      0.3039      0.1671        0.471
  227       18.84       0.304      0.1683       0.4723
  228       19.28       0.304      0.1693       0.4733
  229       19.72      0.3041      0.1702       0.4744
  230       20.18      0.3042      0.1712       0.4754
  231       20.65      0.3043      0.1722       0.4765
  232       21.13      0.3044      0.1732       0.4776
  233       21.63      0.3045      0.1741       0.4786
  234       22.13      0.3046      0.1748       0.4794
  235       22.65      0.3047      0.1755       0.4802
  236       23.17      0.3048      0.1763       0.4811
  237       23.71      0.3049       0.177       0.4819
  238       24.27       0.305      0.1778       0.4828
  239       24.83      0.3051      0.1784       0.4835
  240       25.41      0.3052       0.179       0.4842
  241          26      0.3053      0.1796       0.4849
  242       26.61      0.3054      0.1803       0.4856
  243       27.23      0.3055      0.1809       0.4864
  244       27.86      0.3056      0.1815       0.4871
  245       28.51      0.3057       0.182       0.4877
  246       29.17      0.3058      0.1825       0.4884
  247       29.85      0.3059      0.1831        0.489
  248       30.55       0.306      0.1837       0.4897
  249       31.26      0.3062      0.1842       0.4903
  250       31.99      0.3063      0.1847        0.491
  251       32.73      0.3064      0.1852       0.4916
  252        33.5      0.3065      0.1857       0.4922
  253       34.28      0.3066      0.1863       0.4929
  254       35.08      0.3067      0.1868       0.4935
  255       35.89      0.3069      0.1873       0.4941
  256       36.73       0.307      0.1878       0.4948
  257       37.58      0.3071      0.1883       0.4954
  258       38.46      0.3072      0.1888        0.496
  259       39.36      0.3074      0.1893       0.4967
  260       40.27      0.3075      0.1898       0.4973
  261       41.21      0.3076      0.1903        0.498
  262       42.17      0.3078      0.1909       0.4986
  263       43.15      0.3079      0.1914       0.4993
  264       44.16       0.308      0.1919       0.4999
  265       45.19      0.3082      0.1924       0.5006
  266       46.24      0.3083       0.193       0.5013
  267       47.32      0.3085      0.1935        0.502
  268       48.42      0.3086       0.194       0.5026
  269       49.55      0.3088      0.1946       0.5033
  270        50.7      0.3089      0.1951        0.504
  271       51.88      0.3091      0.1957       0.5047
  272       53.09      0.3092      0.1962       0.5055
  273       54.33      0.3094      0.1968       0.5062
  274       55.59      0.3095      0.1974       0.5069
  275       56.89      0.3097       0.198       0.5076
  276       58.21      0.3098      0.1985       0.5084
  277       59.57        0.31      0.1991       0.5091
  278       60.95      0.3102      0.1997       0.5099
  279       62.37      0.3103      0.2003       0.5107
  280       63.83      0.3105       0.201       0.5115
  281       65.31      0.3107      0.2016       0.5123
  282       66.83      0.3108      0.2022       0.5131
  283       68.39       0.311      0.2029       0.5139
  284       69.98      0.3112      0.2035       0.5147
  285       71.61      0.3114      0.2042       0.5156
  286       73.28      0.3116      0.2048       0.5164
  287       74.99      0.3118      0.2055       0.5173
  288       76.74      0.3119      0.2062       0.5181
  289       78.52      0.3121      0.2069        0.519
  290       80.35      0.3123      0.2076       0.5199
  291       82.22      0.3125      0.2083       0.5208
  292       84.14      0.3127       0.209       0.5218
  293        86.1      0.3131      0.2098       0.5229
  294        88.1      0.3136      0.2105       0.5241
  295       90.16       0.314      0.2113       0.5252
  296       92.26      0.3144       0.212       0.5264
  297       94.41      0.3148      0.2128       0.5276
  298       96.61      0.3153      0.2136       0.5289
  299       98.86      0.3157      0.2144       0.5301
  300       101.2      0.3161      0.2152       0.5314
  301       103.5      0.3166      0.2161       0.5327
  302       105.9      0.3171      0.2169        0.534
  303       108.4      0.3175      0.2178       0.5353
  304       110.9       0.318      0.2187       0.5367
  305       113.5      0.3185      0.2196        0.538
  306       116.1       0.319      0.2205       0.5394
  307       118.9      0.3195      0.2214       0.5409
  308       121.6        0.32      0.2223       0.5423
  309       124.5      0.3205      0.2233       0.5438
  310       127.4       0.321      0.2243       0.5453
  311       130.3      0.3215      0.2253       0.5468
  312       133.4      0.3221      0.2263       0.5483
  313       136.5      0.3226      0.2273       0.5499
  314       139.6      0.3231      0.2284       0.5515
  315       142.9      0.3236      0.2295        0.553
  316       146.2      0.3239      0.2306       0.5544
  317       149.6      0.3242      0.2317       0.5558
  318       153.1      0.3245      0.2328       0.5573
  319       156.7      0.3248       0.234       0.5588
  320       160.3      0.3251      0.2352       0.5603
  321       164.1      0.3254      0.2364       0.5618
  322       167.9      0.3257      0.2377       0.5634
  323       171.8       0.326       0.239        0.565
  324       175.8      0.3263      0.2403       0.5666
  325       179.9      0.3266      0.2417       0.5683
  326       184.1       0.327       0.243         0.57
  327       188.4      0.3273      0.2445       0.5718
  328       192.8      0.3276      0.2459       0.5736
  329       197.2       0.328      0.2474       0.5754
  330       201.8      0.3283       0.249       0.5773
  331       206.5      0.3287      0.2506       0.5793
  332       211.3      0.3291      0.2522       0.5813
  333       216.3      0.3294      0.2539       0.5833
  334       221.3      0.3298      0.2556       0.5854
  335       226.5      0.3302      0.2574       0.5876
  336       231.7      0.3306      0.2592       0.5898
  337       237.1       0.331      0.2611       0.5921
  338       242.7      0.3314       0.263       0.5944
  339       248.3      0.3318       0.265       0.5968
  340       254.1      0.3322      0.2671       0.5993
  341         260      0.3326      0.2692       0.6019
  342       266.1      0.3331      0.2714       0.6045
  343       272.3      0.3335      0.2737       0.6072
  344       278.6       0.334      0.2761         0.61
  345       285.1      0.3344      0.2785       0.6129
  346       291.7      0.3349       0.281       0.6159
  347       298.5      0.3353      0.2836       0.6189
  348       305.5      0.3358      0.2863       0.6221
  349       312.6      0.3363       0.289       0.6253
  350       319.9      0.3368      0.2919       0.6287
  351       327.3       0.337      0.2948       0.6318
  352         335       0.337      0.2978       0.6348
  353       342.8       0.337       0.301        0.638
  354       350.8       0.337      0.3042       0.6412
  355       358.9       0.337      0.3075       0.6445
  356       367.3       0.337      0.3109       0.6479
  357       375.8       0.337      0.3145       0.6514
  358       384.6       0.337      0.3181       0.6551
  359       393.6       0.337      0.3218       0.6588
  360       402.7       0.337      0.3256       0.6626
  361       412.1      0.3365      0.3295        0.666
  362       421.7      0.3359      0.3335       0.6693
  363       431.5      0.3352      0.3375       0.6728
  364       441.6      0.3346      0.3417       0.6763
  365       451.9      0.3339      0.3459       0.6798
